# Version 1.00
#
freq[Hz];re:Trc2_S12;im:Trc2_S12;re:Trc3_S12;im:Trc3_S12;
1.000000000000000E+08;4.546870985733883E-02;9.747279214761707E-02;4.546870985733883E-02;9.747279214761707E-02;
1.122500000000000E+08;5.667532097957696E-02;1.065592131748421E-01;5.667532097957696E-02;1.065592131748421E-01;
1.245000000000000E+08;6.890994286538651E-02;1.142887330555765E-01;6.890994286538651E-02;1.142887330555765E-01;
1.367500000000000E+08;8.198114967079746E-02;1.211430120163723E-01;8.198114967079746E-02;1.211430120163723E-01;
1.490000000000000E+08;9.599009624078007E-02;1.267657548541148E-01;9.599009624078007E-02;1.267657548541148E-01;
1.612500000000000E+08;1.106496136247321E-01;1.312510389773789E-01;1.106496136247321E-01;1.312510389773789E-01;
1.735000000000000E+08;1.260531497043560E-01;1.343422566376903E-01;1.260531497043560E-01;1.343422566376903E-01;
1.857500000000000E+08;1.420218528868418E-01;1.360741594946266E-01;1.420218528868418E-01;1.360741594946266E-01;
1.980000000000000E+08;1.583958612628120E-01;1.365257997453466E-01;1.583958612628120E-01;1.365257997453466E-01;
2.102500000000000E+08;1.749042266111425E-01;1.355231325456280E-01;1.749042266111425E-01;1.355231325456280E-01;
2.225000000000000E+08;1.918085671754270E-01;1.331779800813531E-01;1.918085671754270E-01;1.331779800813531E-01;
2.347500000000000E+08;2.086458176542948E-01;1.293006886783125E-01;2.086458176542948E-01;1.293006886783125E-01;
2.470000000000000E+08;2.256352121999276E-01;1.239668262760856E-01;2.256352121999276E-01;1.239668262760856E-01;
2.592500000000000E+08;2.424415367947828E-01;1.171180451978212E-01;2.424415367947828E-01;1.171180451978212E-01;
2.715000000000000E+08;2.589624830853544E-01;1.089108084982718E-01;2.589624830853544E-01;1.089108084982718E-01;
2.837500000000000E+08;2.751311119605176E-01;9.917981201087517E-02;2.751311119605176E-01;9.917981201087517E-02;
2.960000000000000E+08;2.909065431462899E-01;8.792661066984800E-02;2.909065431462899E-01;8.792661066984800E-02;
3.082500000000000E+08;3.061194023432816E-01;7.538794558823941E-02;3.061194023432816E-01;7.538794558823941E-02;
3.205000000000000E+08;3.204801806463479E-01;6.154107107141406E-02;3.204801806463479E-01;6.154107107141406E-02;
3.327500000000000E+08;3.343132228246599E-01;4.625775197989637E-02;3.343132228246599E-01;4.625775197989637E-02;
3.450000000000000E+08;3.469305870159090E-01;2.989103084670992E-02;3.469305870159090E-01;2.989103084670992E-02;
3.572500000000000E+08;3.589486075095565E-01;1.220482437911066E-02;3.589486075095565E-01;1.220482437911066E-02;
3.695000000000000E+08;3.695031708869638E-01;-6.632941235990756E-03;3.695031708869638E-01;-6.632941235990756E-03;
3.817500000000000E+08;3.791682267204394E-01;-2.622296040812202E-02;3.791682267204394E-01;-2.622296040812202E-02;
3.940000000000000E+08;3.875337052300199E-01;-4.698450249389251E-02;3.875337052300199E-01;-4.698450249389251E-02;
4.062500000000000E+08;3.946784998282516E-01;-6.874745391444879E-02;3.946784998282516E-01;-6.874745391444879E-02;
4.185000000000000E+08;4.005830377743460E-01;-9.108531706512582E-02;4.005830377743460E-01;-9.108531706512582E-02;
4.307500000000000E+08;4.047878581459526E-01;-1.145323327396564E-01;4.047878581459526E-01;-1.145323327396564E-01;
4.430000000000000E+08;4.075716495100888E-01;-1.380267527451093E-01;4.075716495100888E-01;-1.380267527451093E-01;
4.552500000000000E+08;4.086220138964121E-01;-1.622945160589477E-01;4.086220138964121E-01;-1.622945160589477E-01;
4.675000000000000E+08;4.082166867741122E-01;-1.869406657823283E-01;4.082166867741122E-01;-1.869406657823283E-01;
4.797500000000000E+08;4.063768406187282E-01;-2.117569819080863E-01;4.063768406187282E-01;-2.117569819080863E-01;
4.920000000000000E+08;4.028339163751053E-01;-2.367879360743235E-01;4.028339163751053E-01;-2.367879360743235E-01;
5.042500000000000E+08;3.979513040079156E-01;-2.619932571099891E-01;3.979513040079156E-01;-2.619932571099891E-01;
5.165000000000000E+08;3.911501579713157E-01;-2.870894812496245E-01;3.911501579713157E-01;-2.870894812496245E-01;
5.287500000000000E+08;3.828265568654849E-01;-3.121532294748063E-01;3.828265568654849E-01;-3.121532294748063E-01;
5.410000000000000E+08;3.724717612732988E-01;-3.369668153636003E-01;3.724717612732988E-01;-3.369668153636003E-01;
5.532500000000000E+08;3.605729609221566E-01;-3.612779233963031E-01;3.605729609221566E-01;-3.612779233963031E-01;
5.655000000000000E+08;3.470947281573231E-01;-3.852279979359943E-01;3.470947281573231E-01;-3.852279979359943E-01;
5.777500000000000E+08;3.320184649359777E-01;-4.080147652108664E-01;3.320184649359777E-01;-4.080147652108664E-01;
5.900000000000000E+08;3.155911955460449E-01;-4.305474518660302E-01;3.155911955460449E-01;-4.305474518660302E-01;
6.022500000000000E+08;2.979112071688955E-01;-4.522288660642060E-01;2.979112071688955E-01;-4.522288660642060E-01;
6.145000000000000E+08;2.783230308151647E-01;-4.732977708952307E-01;2.783230308151647E-01;-4.732977708952307E-01;
6.267500000000000E+08;2.573528478361081E-01;-4.933439291137232E-01;2.573528478361081E-01;-4.933439291137232E-01;
